page_id,page_type,chosen_method,adaptive_ratio,adaptive_time,lz4_ratio,lz4_time,zstd_ratio,zstd_time
246,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
247,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
248,random,lz4,0.9944,1e-06,0.9944,1e-06,0.9976,4e-06
249,random,lz4,0.9944,2e-06,0.9944,1e-06,0.9976,4e-06
250,text,zstd,14.3217,1.8e-05,10.5567,4e-06,14.3217,5e-06
251,text,zstd,12.1905,7e-06,8.6232,3e-06,12.1905,5e-06
252,text,lz4,11.6034,2e-06,11.6034,1e-06,16.9256,5e-06
253,text,zstd,13.4295,6e-06,10.1638,3e-06,13.4295,5e-06
254,text,zstd,2.905,1.8e-05,2.0267,8e-06,2.905,1.5e-05
255,text,zstd,4.6387,1.4e-05,2.9236,7e-06,4.6387,1.1e-05
256,text,zstd,4.4912,1.4e-05,2.8307,7e-06,4.4912,1.2e-05
257,text,zstd,4.4863,1.6e-05,2.8425,8e-06,4.4863,4.9e-05
258,text,zstd,4.6282,1.5e-05,2.9681,8e-06,4.6282,1.2e-05
259,text,zstd,3.1054,1.9e-05,2.1356,9e-06,3.1054,1.5e-05
260,text,zstd,3.3382,1.5e-05,2.4122,6e-06,3.3382,1.2e-05
261,text,zstd,1.7587,2.3e-05,1.2356,8e-06,1.7587,1.8e-05
262,text,zstd,1.7871,1.9e-05,1.2701,8e-06,1.7871,1.7e-05
263,text,zstd,1.7973,2e-05,1.286,8e-06,1.7973,1.8e-05
264,text,zstd,1.7452,1.9e-05,1.2465,8e-06,1.7452,1.8e-05
265,text,zstd,1.7879,1.9e-05,1.2603,8e-06,1.7879,1.7e-05
266,text,zstd,1.8229,1.9e-05,1.2991,8e-06,1.8229,1.7e-05
267,text,zstd,1.7739,1.9e-05,1.2588,8e-06,1.7739,1.8e-05
268,text,zstd,1.7886,2e-05,1.2804,9e-06,1.7886,1.8e-05
269,text,zstd,1.7894,1.9e-05,1.2788,8e-06,1.7894,1.8e-05
270,text,zstd,1.8278,1.9e-05,1.2876,8e-06,1.8278,1.7e-05
271,text,zstd,1.8746,1.8e-05,1.3192,8e-06,1.8746,1.7e-05
272,text,zstd,1.8409,1.8e-05,1.3057,8e-06,1.8409,1.7e-05
273,text,zstd,1.7512,1.9e-05,1.2534,8e-06,1.7512,1.8e-05
274,text,zstd,1.8068,1.9e-05,1.2724,8e-06,1.8068,1.7e-05
275,text,zstd,1.701,1.9e-05,1.2154,8e-06,1.701,1.8e-05
276,text,zstd,1.746,1.9e-05,1.2393,8e-06,1.746,1.8e-05
277,text,zstd,1.7452,1.9e-05,1.2435,8e-06,1.7452,1.8e-05
278,text,zstd,1.7996,1.8e-05,1.2669,8e-06,1.7996,1.6e-05
279,text,zstd,1.7572,1.9e-05,1.2511,8e-06,1.7572,1.7e-05
280,text,zstd,1.7824,1.9e-05,1.2728,8e-06,1.7824,1.8e-05
281,text,zstd,1.7747,1.9e-05,1.2576,8e-06,1.7747,1.8e-05
282,text,zstd,1.7949,1.8e-05,1.2607,8e-06,1.7949,1.7e-05
283,text,zstd,1.7801,1.8e-05,1.2522,8e-06,1.7801,1.7e-05
284,text,zstd,1.7572,2e-05,1.2488,8e-06,1.7572,1.8e-05
285,text,zstd,1.7793,1.9e-05,1.274,8e-06,1.7793,1.8e-05
286,text,zstd,1.8475,1.9e-05,1.3061,8e-06,1.8475,1.7e-05
287,text,zstd,2.0439,1.7e-05,1.4681,7e-06,2.0439,1.5e-05
288,text,zstd,2.001,2e-05,1.4158,9e-06,2.001,1.8e-05
289,text,zstd,2.5113,1.8e-05,1.7519,8e-06,2.5113,1.6e-05
290,text,zstd,2.6006,1.7e-05,1.8172,8e-06,2.6006,1.5e-05
291,text,zstd,2.5067,1.7e-05,1.7918,8e-06,2.5067,1.4e-05
292,text,zstd,2.4556,1.8e-05,1.7527,8e-06,2.4556,1.5e-05
293,text,zstd,2.6056,1.7e-05,1.8459,8e-06,2.6056,1.4e-05
294,text,zstd,2.1168,1.9e-05,1.512,9e-06,2.1168,1.6e-05
295,text,zstd,2.268,1.7e-05,1.6325,8e-06,2.268,1.5e-05
296,text,zstd,2.3432,1.7e-05,1.6821,8e-06,2.3432,1.5e-05
297,text,zstd,2.3312,1.7e-05,1.6794,7e-06,2.3312,1.5e-05
298,text,zstd,2.1974,1.8e-05,1.5907,8e-06,2.1974,1.5e-05
299,text,zstd,2.5908,1.6e-05,1.861,7e-06,2.5908,1.4e-05
300,text,zstd,2.5552,1.6e-05,1.8517,7e-06,2.5552,1.4e-05
301,text,zstd,2.8886,1.5e-05,2.0378,7e-06,2.8886,1.3e-05
